sector,actividad,antiguedad,rfc,calle,colonia,exterior,departamento,municipio,estado,cp,pais,nombre,numero_cliente
INDUSTRIA,MAQUIRIA Y EQUIPO,1991-09-20,MAC8504266YA,RAMON CORRAL SUR,JORGE ALMADA,845,,CULIACAN,SI,80200,MEX,MUELLES Y AMORTIGUAD ORES DE CULIACAN SA,36II683I
COMERCIO,OTROS COMERCIANTES,2003-06-05,ASS030227I39,PSO LOS LEONES,MITRAS CENTRO,256,,MONTERREY,NL,64460,MEX,ADVANCED SECURITY SY STEMS DEL NORESTE SA DE CV,B6FI8BB8
SERVICIOS,SERVICIOS PROFESIONALES,2010-09-23,GAP0907017Y2,HOMERO,POLANCO V SECCION,1804,601,MIGUEL HIDALGO,DF,11560,MEX,GRUPO APAMATE S DE R L DE CV,FI6IN68F
COMERCIO,INSUMOS PARA LA INDUSTRIA,1986-10-16,NIF861020FQ1,KELVIN,ANZURES,27,301,MIGUEL HIDALGO,DF,11590,MEX,NIFAX SA DE CV,36IPBBDP
INMOBILIARIO,HOTELES,1997-01-24,RML820420VD5,A. LOPEZ MATEOS OTE.,COL LAS BUGAMBILIAS,2211,,LEON,GU,37270,MEX,"REAL DE MINAS DE LEO N,SA DE CV",D060D33F
COMERCIO,AUTOS Y REFACCIONES,2011-01-05,LRF0812027E0,RAMON NOVARO,JORGE NEGRETE,MZ 174,LT 19,GUSTAVO A MADERO,DF,7280,MEX,LLANTAS Y RINES FERC AN SA DE CV,FP0IB3D0
COMERCIO,INSUMOS PARA LA INDUSTRIA,2005-11-24,AAL0307091R7,ARTURO CARRANZA,LA COMEDIA,143,,GUADALUPE,NL,67180,MEX,ACEROS ALI SA DE CV,I3PPIB30
COMERCIO,INSUMOS PARA LA INDUSTRIA,2002-10-31,MCO0208173N8,MILAN,LA VENA,319,,PUERTO VALLARTA,JA,48320,MEX,MAYOREO DE CONFORT S .A. DE C.V.,N6D6DBFP
COMERCIO,OTROS COMERCIANTES,1991-11-06,FSA821114GH3,VENUSTIANO CARRANZA,EL KIOSCO,3373,,SALTILLO,CU,25240,MEX,"FERRECENTRO DE SALTI LLO,SA DE CV",36NDP6N8
INMOBILIARIO,NO VIVIENDA,2006-01-24,GIN050212RZ9,ARTICULO 3RO,CONSTITUCION,SN,OF 101,PACHUCA DE SOTO,HI,42080,MEX,GRUPO INELPRO SA DE CV,INN063N6
COMERCIO,INSUMOS PARA LA INDUSTRIA,2013-06-14,GAI1205243X1,FERNANDO ANAYA MONROY,DEL VALLE CENTRO,152,,BENITO JUAREZ,DF,3100,MEX,GRUPO ALUTECNICA INS TALACIONES SA DE CV,4FN3BPFI
COMERCIO,SUPER Y ABARROTES,2008-11-14,CLC011031U40,VILLA ELOISA,DESARROLLO URBANO QU,SECB,AGL6,IZTAPALAPA,DF,9700,MEX,COMERCIALIZADORA EL LAGO DE LOS CHANEQUE S,P66N3D36
INMOBILIARIO,NO VIVIENDA,2002-06-24,PAI020521KN5,10 PONIENTE,SAN PEDRO CHOLULA,1303,SN,SAN PEDRO CHOLULA,PU,72760,MEX,PAINCO S.A. DE C.V.,N86INPFI
COMERCIO,ROPA REGALOS Y CALZADO,2004-08-25,TIN040531KGA,AV MANUEL L BARRAGAN,BELLA VISTA,2970,,MONTERREY,NL,64410,MEX,TELAS INDUSTRIALES N O TEJIDAS SA DE CV,8N68033N
COMERCIO,SUPER Y ABARROTES,2009-07-28,LCP060825739,CARRETERA FEDERAL VILLAHERMOSA A FRONTERA,LAGUNAS,KM 5 200,BOD 1,CENTRO,TA,86019,MEX,LOGI COMER PRO SA DE CV,F3IPI86D
COMERCIO,ROPA REGALOS Y CALZADO,2003-09-22,PRO030902CS9,REAL DE LA BARRANCA,VISTA REAL,37,,CORREGIDORA,QU,76905,MEX,PROMOWORLD SA DE CV,BFD33N3D
COMERCIO,OTROS COMERCIANTES,2009-06-26,SEE0903134Q2,ACAYUCAN,ROMA SUR,9,,CUAUHTEMOC,DF,6700,MEX,SOLUCIONES ERGONOMIC AS EMPRESARIALES SA DE CV,F3NN3006
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,1993-04-19,SSJ920826GR7,JAVIER MINA,JALOSTOTITLAN CENTRO,60,,JALOSTOTITLAN,JA,47120,MEX,"SERVICIOS SAN JOSE,S A DE CV",36F3D8NB
AGROINDUSTRIA,AGROINDUSTRIA,1997-04-17,AID970224NA6,BARRANCA DEL MUERTO,PROFR CARLOS HANK GONZALEZ,8,,LA PAZ,EM,56510,MEX,"AVES IDEAL,SA DE CV",D0FD008P
COMERCIO,SUPER Y ABARROTES,2009-06-05,SAN090507DM4,DOMICILIO CONOCIDO,CAMPO NUMERO 101,SN,,CUAUHTEMOC,CH,31610,MEX,SANFRUT SA DE CV,F303F8N0
TRANSPORTE,TRANSPORTE,2015-04-17,RMA070614UE4,VIA LOPEZ PORTILLO,COLONIAL COACALCO,206,7 C,COACALCO DE BERRIOZABAL,EM,55700,MEX,REFRIGERADOS MAVERIC K SA DE CV,XN6I8DP6
SERVICIOS,SERVICIOS PROFESIONALES,2000-08-08,SSO0007187U2,RET ECUESTRES,MEXICO 68,4809,,PUEBLA,PU,72300,MEX,SEVILLA SOLDADURAS S A DE CV,D8BB6NIN
INMOBILIARIO,NO VIVIENDA,2005-09-27,PPC041116NC9,AV 10 SUR MZA 35  LOT 1 DEPTO C101,EJIDAL PLAYA DEL CARMEN,LOT 1,LOTE 1,SOLIDARIDAD,QR,77710,MEX,PLAZA PARAISO CARIBE SA DE CV,I0IN03D0
SERVICIOS,SERVICIOS MEDICOS,2008-02-07,HHB0712073UA,CRISTOBAL COLON,LOMAS VERDES,66,,NAUCALPAN DE JUAREZ,EM,53120,MEX,"HOSPITAL HBG, SA DE CV",6F08BNBN
INMOBILIARIO,NO VIVIENDA,2007-10-15,PME0710044E4,CUAUHTEMOC NTE 104,TULANCINGO CENTRO,12,,TULANCINGO DE BRAVO,HI,43600,MEX,PROMODAN DE MEXICO S A DE CV,6IBNNBN0
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,1999-12-16,PAM991027611,AV MICHOACAN,RENOVACION,20,NAVE 16,IZTAPALAPA,DF,9209,MEX,"PROYECT ARQ MUEBLES, SA DE CV",DB3NDDBN
COMERCIO,AUTOS Y REFACCIONES,2004-03-16,SMO040123C96,CARRETERA NAL MEXICO LAREDO,JARDINES DE LA HACIENDA,8537,,NUEVO LAREDO,TM,88277,MEX,"SUPERSERVICIO MOTORS , SA DE CV",83N6FP0D
COMERCIO,SUPER Y ABARROTES,1989-03-09,DAV881115BM2,NICOLAS BRAVO OTE,SAN FELIPE HUEYOTLIP,17,,PUEBLA,PU,72030,MEX,DISTRIBUIDORA AVISPA SA DE CV,30883DFD
SERVICIOS,SERVICIOS PROFESIONALES,1992-04-24,BAS9203045G8,NUEVO LEON,CONDESA,73,P 4,CUAUHTEMOC,DF,6140,MEX,BERUMEN Y ASOCIADOS SA DE CV,363BF6DF
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,1990-03-28,SGE5211128E3,6,GRANJAS SAN ANTONIO,114,,IZTAPALAPA,DF,9070,MEX,SAN GERARDO SA DE CV,033PDI36
TRANSPORTE,TRANSPORTE,2010-07-26,FET100707LQ9,ESTADO DE MEXICO,LOMA LA PALMA,MZ 1,LT 5,GUSTAVO A MADERO,DF,7160,MEX,F5 ENLACES Y TRANSPO RTACION FLORES SA DE CV,FI0D6PF6
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2000-02-17,SPE9802097G6,CARR SANCHEZ MAGALLANES SN,EJIDO P SANCHEZ MAGALLANES,SN,,CARDENAS,TA,86460,MEX,"SERVICIO PESCADORES, SA DE CV",DBBPN66P
TRANSPORTE,TRANSPORTE,2008-11-12,LNA0707186A6,AV SOLEDAD,SAN FELIPE,1813,,SOLEDAD DE GRACIANO SANCHEZ,SL,78433,MEX,LOGISTICA DEL NORTE & TRUCKING SA DE CV,P6I606P0
INDUSTRIA,PRODUCTOS A BASE DE MINERALES NO METALICOS,1986-09-25,PUR860113H25,AV HIDALGO,BARRIO NORTE,62,,ATIZAPAN DE ZARAGOZA,EM,52960,MEX,"POLIMEROS DEL URETAN O,SA DE CV",3668FFI6
INDUSTRIA,INDUSTRIAS BASICAS,2009-02-05,MFR910422MP2,CARR 30 KM 10 2,SAN ANTONIO,1262,,FRONTERA,CU,25810,MEX,MONTAJES FRONTERA SA DE CV,PFDF63P8
COMERCIO,INSUMOS PARA LA INDUSTRIA,2001-10-10,MIN980522PI5,EJIDOS DE TEOLOYUCAN,PARAJE SAN JOSE,21,,TEOLOYUCAN,EM,54770,MEX,MCLANE INTERNACIONAL S. A. DE C. V.,NDFB6NII
INMOBILIARIO,NO VIVIENDA,2009-08-31,CPM090224MK6,QUINTANA ROO,INDEPENDENCIA AMPL,1551,B,MEXICALI,BN,21290,MEX,CONSTRUCTORA Y PERFO RADORA MEXICALI SA D E CV,FD066F8P
COMERCIO,SUPER Y ABARROTES,1999-05-21,MLE981101DS0,BODEGA 1,COL PLAZAS DEL SOL,NAVE E,,QUERETARO,QU,76090,MEX,"MAYOREO EN LACTEOS Y EMBUTIDOS,SA DE CV",DNDI0NBI
INMOBILIARIO,NO VIVIENDA,2011-11-10,PSP040415883,VIA RAPIDA PTE,CHIHUAHUA LA MESA,15035,3,TIJUANA,BN,22114,MEX,PAVIMENTACIONES SOS DEL PACIFICO S DE RL DE CV,4DN6F330
INMOBILIARIO,HOTELES,2004-10-05,OHA0007192A0,MORELOS NTE,LA SOLEDAD,4500,,MORELIA,MI,58118,MEX,OPERADORA DE HOTELES AVION SA DE CV,8BDPDDFB
INDUSTRIA,MAQUIRIA Y EQUIPO,2008-09-03,AME9810201L9,AV 1,CARTAGENA,28,,TULTITLAN,EM,54918,MEX,ATOTECH DE MEXICO SA DE CV,P8ND3FP8
COMERCIO,SUPER Y ABARROTES,2008-10-21,OPA060403HL9,QUINTA,GOMEZ PALACIO CENTRO,508,,GOMEZ PALACIO,DU,35000,MEX,OMEGA PROVEEDORA DE ALIMENTOS SA DE CV,PIFIFD36
COMERCIO,SUPER Y ABARROTES,2005-11-10,IPA810323TD1,AVE CARLOS CANSECO,MARINA MAZATLAN,6052,,MAZATLAN,SI,82103,MEX,INSTITUCIONALES PACI FICO SA DE CV,I3BIDB83
COMERCIO,SUPER Y ABARROTES,2011-03-30,SCB0902182P4,BLVD AEROPUERTO,SAN JOSE EL ALTO,710,,LEON,GU,37545,MEX,SUPER CARNES DEL BAJ IO SA DE CV,FF06IIDN
TRANSPORTE,TRANSPORTE,1999-08-12,TRC9609204B0,CALLE PRIMERA,CAMPO 10,6493,,CULIACAN,SI,80396,MEX,TRANSPORTES REFRIGER ADOS CGG S.A. DE C.V .,30B3FP8P
COMERCIO,SUPER Y ABARROTES,2005-01-28,PAN0206101N4,CAMINO A EJIDO 20 DE NOVIEMBRE,ESTACION,SN,,EBANO,SL,79290,MEX,LA Y DE PANUCO S DE PR DE RL,8I3PPPDD
COMERCIO,OTROS COMERCIANTES,1991-07-03,CRA900806NH9,CENTENO,GRANJAS MEXICO,688,,IZTACALCO,DF,8400,MEX,CONFECCIONES RAMATY SA DE CV,36DNBBN0
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,1997-01-23,GIG940902BM4,CARR PANAMERICANA KM 158,RODEO,KM 162,,RODEO,DU,35760,MEX,"GASOLINERA IGLUF,SA DE CV",D0600D0N
INDUSTRIA,QUIMICO,2000-02-09,LZE720824RA3,CENTENO,GRANJAS MEXICO,768,,IZTACALCO,DF,8400,MEX,"LABORATORIOS ZELL,SA DE CV",DBBDI6IF
COMERCIO,OTROS COMERCIANTES,2003-07-04,FER0303178H4,AV PIRAMIDES KM 32 CARR MEXICO  TEXCOCO,LAZARO CARDENAS,KM 32,0,ACOLMAN,EM,55882,MEX,FERROTERMO SA DE CV,BPN0DPNF
COMERCIO,RESTAURANT,2002-06-27,IAD980708IY7,CALLE FRACCION 7,XCALACOCO,MZA 20,LOT 5Y6,SOLIDARIDAD,QR,77710,MEX,"INMOBILIARIA ARRECIF E DORADO, SA DE CV",N8P06B63
INMOBILIARIO,NO VIVIENDA,2004-09-14,CIE04011561A,CARRETERA FEDERAL CORDOBA VERACRUZ,EL MANGUITO,KM112500,,BOCA DEL RIO,VE,94290,MEX,CIEG SA DE CV,8B0DN68P
INDUSTRIA,MAQUIRIA Y EQUIPO,2000-10-31,TDE8409265L2,GOLFO DE MEXICO,LA FE,790,B,SAN NICOLAS DE LOS GARZA,NL,66477,MEX,TECNOLOGIA Y DISENO ELECTRONICO SA DE CV,38NF030N
COMERCIO,INSUMOS PARA LA INDUSTRIA,2001-07-18,FTR990615GZ1,ING TELLO,LOS ALTOS,90,,SAN PEDRO TLAQUEPAQUE,JA,45520,MEX,FORROS Y TACONES RAM IREZ SA DE CV,N3D8NF3D
,,1997-10-24,CQU8102241HA,MU�OZ,CAPITAL CALDERA,364,I,SAN LUIS POTOSI,SL,78250,MEX,"CONSTRUCTORA QUID,SA DE CV",D3BN3NFB
SERVICIOS,SERVICIOS PROFESIONALES,2013-07-05,LSM110524BE2,EJERCITO REPUBLICANO,CARRETAS,121,104 B,QUERETARO,QU,76050,MEX,LMA SERVICES DE MEXI CO SA DE CV,4F80BFNP
INMOBILIARIO,ALQUILER DE INMUEBLES,2006-07-25,GIN880520JS5,NICOLAS BRAVO,SEGUNDA SECCION,196,A,MEXICALI,BN,21100,MEX,GINAMEX S DE RL,I6DIFB30
SERVICIOS,SERVICIOS PROFESIONALES,2005-02-04,PMA971112U22,MEX CUAUTITLAN,LOMA BONITA,KM 31.5,NAVE 22,CUAUTITLAN,EM,54879,MEX,"PROVEEDORES Y MAQUIL ADORES.., SA DE CV",8IDP3I0B
COMERCIO,INSUMOS PARA LA INDUSTRIA,2013-12-18,LMM130827LJ4,13 PONIENTE,PUEBLA CENTRO,1301,LOCAL A,PUEBLA,PU,72000,MEX,LIDER MUNDIAL MEDICA SA DE CV,X300BFN8
INMOBILIARIO,ALQUILER DE INMUEBLES,2008-10-03,DRC080903QRA,CARR NAL,LOMA PRIETA,KM 221,,MONTEMORELOS,NL,67610,MEX,DESARROLLOS RODRIGUE Z CARDENAS SA DE CV,PIBIPN00
COMERCIO,INSUMOS PARA LA INDUSTRIA,2009-09-14,RME040211AH4,AV INSURGENTES SUR,DEL VALLE CENTRO,686,302,BENITO JUAREZ,DF,3100,MEX,RESCUE MEDIC SA DE C V,FDDNI6ND
COMERCIO,RESTAURANT,2007-09-27,ENA960509BF5,COSTERA MIGUEL ALEMAN,MAGALLANES,200,,ACAPULCO DE JUAREZ,GO,39670,MEX,LA ERA NATURAL  SA D E CV,6I300830
COMERCIO,OTROS COMERCIANTES,1995-04-10,APA840316KM1,JOSE MARIA PINO SUAREZ SUR,AMERICAS,729,,TOLUCA,EM,50130,MEX,AUTO PARTES ALBARRAN SA DE CV,N0BBNF08
SERVICIOS,OTROS SERVICIOS,2009-10-12,CDS070717H46,CALLE 23,JESUS CARRANZA,91 D,,MERIDA,YU,97109,MEX,CORPORATIVO DIAMANTE DEL SURESTE SA DE C V,FD88D0D0
COMERCIO,INSUMOS PARA LA INDUSTRIA,1991-12-11,CVC920406NR8,DEGOLLADO,CENTRO,111,A,PENJAMO,GU,36900,MEX,COMERCIALIZADORA VET ERINARIA DEL CENTRO SA DE CV,36DNN006
COMERCIO,ROPA REGALOS Y CALZADO,2006-10-04,RDI0205141K4,PLUTARCO ELIAS CALLES,SAN ANDRES ANEXO,282,,GUADALAJARA,JA,44750,MEX,RODRIGUEZ DISTRIBUCI ONES SA DE CV,IPI6PPND
INMOBILIARIO,NO VIVIENDA,2001-02-06,CAH001027F30,BLV EVERARDO MARQUEZ,ADOLFO LOPEZ MATEOS,817,,PACHUCA DE SOTO,HI,42094,MEX,CONSTRUCTORA Y ARREN DADORA HIDALGUENSE S A DE CV,DIB86BFB
INDUSTRIA,PAPEL,1999-05-17,PED870217B47,RIO TIBER,CUAUHTEMOC,22 MEZZ,2,CUAUHTEMOC,DF,6500,MEX,"PERNAS Y COMPA�IA, E DITORES Y DISTRIBUID ORES SA DE CV",3D6FI88D
COMERCIO,SUPER Y ABARROTES,2006-08-24,COC9401192IA,116,VICENTE GUERRERO,164,,PROGRESO,YU,97320,MEX,COMERCIAL OCEANICA S A DE CV,I6PI08I3
COMERCIO,INSUMOS PARA LA INDUSTRIA,2008-07-15,WIM070703M38,BARRANCA HONDA,SAN MARTIN OBISPO,24,A,CUAUTITLAN IZCALLI,EM,54769,MEX,WINTERBORNE INCORPOR ATED DE MEXICO SA DE CV,PN60BP03
COMERCIO,OTROS COMERCIANTES,1999-08-11,AMU990521EX3,GUSTAVO BAZ,SAN JERONIMO TEPETLACALCO,180,BODEGA E,TLALNEPANTLA,EM,54110,MEX,"AZCUE MUEBLES,SA DE CV",DN8BNBIF
SERVICIOS,SERVICIOS PROFESIONALES,2008-04-09,VIS080312MS1,JOSELILLO,EL PARQUE,6,PISO 12,NAUCALPAN DE JUAREZ,EM,53398,MEX,VC IP SOLUCIONES SA DE CV,P0I3866I
SERVICIOS,SERVICIOS DE EDUCACION,2016-08-16,CUN611208LL5,MAR MEDITERRANEO,POPOTLA,183,,MIGUEL HIDALGO,DF,11400,MEX,CLUB UNION AC,XI8NI83F
INDUSTRIA,MAQUIRIA Y EQUIPO,2009-01-28,WMP000601AP6,FELIPE ANGELES,LOMAS HIPODROMO,6,,NAUCALPAN DE JUAREZ,EM,53900,MEX,WORLDWIDE MANUFACTUR ED PRODUCTS SA DE CV,PF36FD6B
COMERCIO,SUPER Y ABARROTES,2000-11-23,ASA980731ES5,MANUEL J CLOUTHIER,EL MONTE,1701,B,SALAMANCA,GU,36720,MEX,ABASTECEDORA SALMANT INA SA DE CV,388N3N30
COMERCIO,OTROS COMERCIANTES,2000-06-14,CMO990329RZ6,PERIFERICO PONIENTE,PARAISOS DEL COLLI,1050,1070,ZAPOPAN,JA,45069,MEX,"COMERCIAL MOFEG,SA D E CV",D80FD0ND
COMERCIO,INSUMOS PARA LA INDUSTRIA,1991-09-23,IAU840910UM2,CONSTITUCION SUR,APATZINGAN DE LA CONSTITUCION,401,,APATZINGAN,MI,60600,MEX,"INDUSTRIAS AGRICOLAS UNIDAS,SA DE CV",36BFN33I
SERVICIOS,SERVICIOS PROFESIONALES,1997-11-13,QLM971022389,INSURGENTES SUR,CREDITO CONSTRUCTOR,1524,DESP 201,BENITO JUAREZ,DF,3940,MEX,QOS LABS DE MEXICO S A DE CV,D3B6IF80
INMOBILIARIO,NO VIVIENDA,2007-05-21,DCO030828JU2,BOSQUE DE DURAZNOS,BOSQUES DE LAS LOMAS,127,13B,MIGUEL HIDALGO,DF,11700,MEX,DESARROLLOS CONFIANZ A SA DE CV,6N0PNBNI
INMOBILIARIO,HOTELES,2015-03-02,ZGH000619DRA,AVENIDA MEXICO,VALLARTA NORTE,2747,,GUADALAJARA,JA,44690,MEX,Z G HOTELES SA DE CV,XN80ID80
COMERCIO,INSUMOS PARA LA INDUSTRIA,1998-07-02,ICO980223IN6,TOPACIO,CHAIREL 33A SECCION,128,,TAMPICO,TM,89219,MEX,INDUSTRIAL COMTECK S .A. DE C.V.,33P6BB80
COMERCIO,OTROS COMERCIANTES,1997-01-27,DHA910624BW3,EMILIANO ZAPATA,PORTALES SUR,49,,BENITO JUAREZ,DF,3300,MEX,DISTRIBUIDORA DE HER RAJES PARA ALUMINIO SA DE CV,D06066D0
COMERCIO,ROPA REGALOS Y CALZADO,1995-11-23,MME940722RE7,SUR 69 A,BANJIDAL,313,,IZTAPALAPA,DF,9450,MEX,MAYAR DE MEXICO SA D E CV,3BB38DBI
COMERCIO,OTROS COMERCIANTES,2003-11-06,CME031002PB9,CALLE PAULINO NAVARRO,LOS MAESTROS,1355,,ZAPOPAN,JA,45150,MEX,CELIM DE MEXICO SA D E CV,BFP6DPBF
TRANSPORTE,TRANSPORTE,2011-07-04,DDC110630BZ5,CALLE A LA 10,ATEQUIZA,SN,,IXTLAHUACAN DE LOS MEMBRILLOS,JA,45860,MEX,DESARROLLO DE CULTIV OS ESTRATEGICOS Y AL MACENA S DE RL DE CV,408FPBIB
COMERCIO,ROPA REGALOS Y CALZADO,2016-03-30,DDI960307327,EMILIANO ZAPATA,PENSADOR MEXICANO,40,,VENUSTIANO CARRANZA,DF,15510,MEX,DISTRIBUIDORA DIMAS SA DE CV,X8IFNDBD
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2013-02-21,ORI0805206Y2,AUTOP MEXICO PUEBLA,IXTAPALUCA CENTRO,KM38,200,IXTAPALUCA,EM,56530,MEX,ORIGAS S. A. DE C. V .,4P3PFFI0
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2005-10-28,GGM030121GF8,CARRETERA LA GUADALUPE GTZ ZAMORA KM 70,RIACHUELO,SN,,TECOLUTLA,VE,93578,MEX,GRUPO GOLFO DE MEXIC O SA DE CV,I3D0PP36
COMERCIO,INSUMOS PARA LA INDUSTRIA,1997-04-17,EEC920723EV9,REVILLAGIGEDO,CENTRO DE LA CD DE MEX AREA 5,37,LOC  IJ,CUAUHTEMOC,DF,6050,MEX,"ELECTRO EQUIPOS DEL CENTRO,SA DE CV",D0FD3PFN
COMERCIO,OTROS COMERCIANTES,2010-06-21,COD060403Q8A,FRANCISCO I MADERO,SAN MIGUEL DE LA PUNTA,3064,,TONALA,JA,45425,MEX,CODIMUBA SA DE CV,F886P88P
TRANSPORTE,TRANSPORTE,1979-05-01,PMM8706182T7,CANALES,NUEVO LAREDO CENTRO,3720,A,NUEVO LAREDO,TM,88000,MEX,PEDRO MARTINEZ MENDE Z Y CIA SC,366N3D8I
COMERCIO,INSUMOS PARA LA INDUSTRIA,2007-09-24,GWO070903R98,MONTES URALES,LOMAS DE CHAPULTEPEC I SECCION,745,PB,MIGUEL HIDALGO,DF,11000,MEX,GLOBAL WOODS SA DE C V,6I03NN6I
COMERCIO,AUTOS Y REFACCIONES,1991-08-01,PAA880118QM2,ADOLFO LOPEZ MATEOS OTE,JARDINES DE CELAYA,1109,,CELAYA,GU,38080,MEX,PONCE AUTOMOTRIZ Y A GRICOLA SA DE CV,DB60BD8F
SERVICIOS,SERVICIOS DE ESPARCIMIENTO,2005-03-03,VME050228ET9,AV PASEO DE LA REFORMA,TABACALERA,107,602,CUAUHTEMOC,DF,6030,MEX,VINZEO MEXICO SA DE CV,8IIBPP80
COMERCIO,INSUMOS PARA LA INDUSTRIA,2011-05-27,CJA1105164D8,ANTIGUO CAMINO A LA RESURRECCION,PARQUE INDUSTRIAL LA RESURRECC,10428,17,PUEBLA,PU,72225,MEX,COMERCIALIZADORA JAB CENTS SA DE CV,400P8NDF
INDUSTRIA,MAQUIRIA Y EQUIPO,1996-01-02,MEA9509207N3,CARR STA ROSA APODACA,SANTA ROSA,516,,APODACA,NL,66610,MEX,MANTENIMIENTO PARA E QUIPOS DE AVIACION S A DE CV,3FND0ND6
SERVICIOS,SERVICIOS PROFESIONALES,2001-05-09,CIL000831ND4,LOTE 5,AGRICOLA MOCTEZUMA,SN,,ORIZABA,VE,94345,MEX,CONSTRUCCIONES INDUS TRIALES LAREDO S A D E C V,N0D683BI
COMERCIO,INSUMOS PARA LA INDUSTRIA,2004-08-12,DQM040622UM9,ALEMANIA,MEXICO 68,100,,NAUCALPAN DE JUAREZ,EM,53260,MEX,D Q MICROBIOLOGIA LA BORATORIOS SA DE CV,8N86IF0F
INMOBILIARIO,HOTELES,1991-05-29,HAB8404276V2,PONCIANO AGUILAR,GUANAJUATO CENTRO,49 51,50,GUANAJUATO,GU,36000,MEX,HOTEL LA ABADIA SA D E CV,3PIN3F3I
INMOBILIARIO,ALQUILER DE INMUEBLES,2007-10-24,IAC070817AP9,AV MORELOS,JUAREZ,64,,CUAUHTEMOC,DF,6600,MEX,IMPULSORA DE ACTIVOS DEL CENTRO SA DE CV,6II6BF66
COMERCIO,INSUMOS PARA LA INDUSTRIA,2010-02-04,ASR100118DL9,CAMPO 72,CAMPO 73,S/N,,RIVA PALACIO,CH,31641,MEX,AGROQUIMICOS SANTA R ITA SA DE CV,FNF3NPIF
INMOBILIARIO,NO VIVIENDA,1998-05-08,DCO960716SYA,CALLE 21 A,LUIS ECHEVERRIA,418,,MERIDA,YU,97229,MEX,"DASILA CONSTRUCTORA, SA DE CV",DD00P8B3
AGROINDUSTRIA,AGROINDUSTRIA,1990-07-26,AME720320KF8,AV CENTRAL,NUEVA INDUSTRIAL VALLEJO,143,A,GUSTAVO A MADERO,DF,7700,MEX,ARDURA DE MEXICO SA DE CV,3630D3BP
INDUSTRIA,INDUSTRIAS BASICAS,2000-12-05,BLA000714CR1,AV. 4 LOTE 9 MZ 2,PARQUE IND. TULTITLAN,S/N,,TULTITLAN,EM,54900,MEX,BLANKING SA DE CV,388IDPN0
COMERCIO,OTROS COMERCIANTES,2009-06-18,SEM090331R60,AV VALLARTA,CIUDAD GRANJA,6503,E21,ZAPOPAN,JA,45010,MEX,SOLUCIONES EMPRESARI ALES MX SA DE CV,F3DD0PP0
INDUSTRIA,MAQUIRIA Y EQUIPO,1993-06-07,BIM8306031J5,MENDELSON,VALLEJO,131,B,GUSTAVO A MADERO,DF,7870,MEX,BOMBAS INTERNACIONAL ES MEXICANAS SA DE C V,3P0FNFPI
INDUSTRIA,TEXTIL,1992-06-24,INT7412099F6,GUSTAVO BAZ,ALCE BLANCO,98,PISO 5,NAUCALPAN,EM,53370,MEX,"INTERPLAY,SA DE CV",36BFIFB0
INMOBILIARIO,HOTELES,2004-01-07,NHC011026E19,CARR PLAYA SAN JUAN KM 2 5,ZONA HOTELERA,SN,,COZUMEL,QR,77600,MEX,NUEVO HOTEL COZUMEL SA DE CV,808068I8
SERVICIOS,SERVICIOS DE ESPARCIMIENTO,2006-06-08,PMK031114QNA,CONDOR,LAS ARBOLEDAS,10,,ATIZAPAN DE ZARAGOZA,EM,52950,MEX,PIU MKT SA DE CV,IIDN0300
COMERCIO,INSUMOS PARA LA INDUSTRIA,1996-01-12,MDE930202S97,AVENIDA CARLOS PACHECO VILLALOBOS,MARMOL II,8402,,CHIHUAHUA,CH,31063,MEX,MOLDES Y DETALLES SA DE CV,3FNNPD30
COMERCIO,AUTOS Y REFACCIONES,2000-05-12,FSM990309KU0,AVENIDA JUAREZ,LA PAZ,1507,,PUEBLA,PU,72160,MEX,FORMULA SAN MARTIN S A DE CV,3N6NB6N3
COMERCIO,INSUMOS PARA LA INDUSTRIA,1999-07-08,APF990327LA2,SAN ANTONIO,SANTA MARIA,125,,MONTERREY,NL,64650,MEX,"ACEROS Y PERFILES FE RROMAX,SA DE CV",DNB36F66
SERVICIOS,SERVICIOS PROFESIONALES,2006-09-19,UGR630309BZ5,CALLE 53,ESPERANZA,SN,,ESCARCEGA,CA,24350,MEX,UNION GANADERA REGIO NAL GENERAL DEL EDO. DE CAMPECHE (COMERC,IPN883FN
INMOBILIARIO,NO VIVIENDA,2012-10-15,HMA061017CJA,HERMENEGILDO GALEANA,TREVI�O,1732,,MONTERREY,NL,64570,MEX,HIYASO MAQUINARIA,4IIPIDII
COMERCIO,AUTOS Y REFACCIONES,1990-07-26,ACA4009106Z5,SIERRA MORENA,BOSQUES DEL PRADO NORTE,202,204,AGUASCALIENTES,AG,20127,MEX,"AUTOS Y CAMIONES,SA DE CV",36338FFN
COMERCIO,SUPER Y ABARROTES,2011-03-01,FRU110201GR3,EJE 8 SUR AV POPOCATEPETL,GRAL PEDRO MARIA ANA,415,29,BENITO JUAREZ,DF,3340,MEX,FRUITCORP  SA DE CV,FP6D0PDI
